PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Dylan WindlerD. WindlerF,7:51,1,2,50.0,1,2,50.0,0,0,0.0,0,3,3,1,1,0,1,1,3,-10
Mouhamed GueyeM. GueyeF,7:35,1,1,100,0,0,0.0,2,4,50.0,0,0,0,0,1,0,2,2,4,-9
Rob Baker IIR. Baker IIC,2:31,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Zaccharie RisacherZ. RisacherG,7:35,2,4,50.0,1,3,33.3,1,2,50.0,0,1,1,0,0,0,0,1,6,-6
Nikola DjurisicN. DjurisicG,6:24,0,1,0.0,0,1,0.0,2,3,66.7,0,1,1,0,0,0,2,0,2,-8
Keaton WallaceK. Wallace,8:27,2,2,100,0,0,0.0,1,2,50.0,0,1,1,2,1,1,0,2,5,-2
Miles NorrisM. Norris,3:36,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,1,1,0,3
E.J. LiddellE. Liddell,2:25,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,4
Jarkel JoinerJ. Joiner,3:36,1,1,100,1,1,100,0,0,0.0,0,0,0,0,0,0,0,1,3,3
TOTALS,,7,13,53.8,3,8,37.5,6,11,54.5,0,7,7,3,3,1,6,9,23,-5
