PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Dariq WhiteheadD. WhiteheadF,5:56,0,4,0.0,0,3,0.0,0,0,0.0,0,2,2,0,0,2,0,1,0,-4
Jalen WilsonJ. WilsonF,6:15,2,2,100,0,0,0.0,0,0,0.0,0,3,3,1,0,0,1,0,4,-3
Noah ClowneyN. ClowneyC,6:03,2,3,66.7,0,1,0.0,0,0,0.0,0,0,0,0,1,1,0,3,4,-6
Keon JohnsonK. JohnsonG,6:15,1,3,33.3,0,1,0.0,0,0,0.0,0,1,1,2,0,1,0,1,2,-3
Jacob GilyardJ. GilyardG,7:19,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,2,0,0,0,0,0,-3
Jaylen MartinJ. Martin,4:04,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,1,0,0,1,0,0
Tyrese MartinT. Martin,3:45,1,3,33.3,0,1,0.0,1,2,50.0,0,0,0,0,1,0,0,0,3,-1
Zylan CheathamZ. Cheatham,7:42,1,1,100,0,0,0.0,1,2,50.0,1,1,2,0,0,0,1,1,3,1
Mark ArmstrongM. Armstrong,2:41,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,2,1,0,-1
TOTALS,,7,19,36.8,0,9,0.0,2,4,50.0,1,8,9,5,3,4,4,8,16,-4
