PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Jarrett CulverJ. CulverF,5:32,1,1,100,1,1,100,0,0,0.0,0,1,1,1,0,0,0,0,3,17
Tristan Da SilvaT. Da SilvaF,6:13,2,3,66.7,2,3,66.7,2,2,100,0,0,0,2,1,0,0,1,8,20
Jay HuffJ. HuffC,5:32,4,5,80.0,0,0,0.0,0,0,0.0,1,1,2,1,0,1,0,0,8,17
Jett HowardJ. HowardG,6:13,3,4,75.0,2,2,100,0,0,0.0,0,1,1,3,0,0,0,0,8,20
Anthony BlackA. BlackG,7:50,2,3,66.7,0,1,0.0,2,2,100,0,1,1,1,0,0,0,0,6,17
Xavier MoonX. Moon,4:28,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,-2
Charles BediakoC. Bediako,4:28,0,0,0.0,0,0,0.0,1,2,50.0,0,0,0,1,0,1,0,0,1,-2
Charlie Brown Jr.C. Brown Jr.,3:47,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-5
Kaiser GatesK. Gates,3:47,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,-5
Jared RhodenJ. Rhoden,2:10,0,0,0.0,0,0,0.0,2,2,100,0,0,0,0,0,0,0,0,2,-2
TOTALS,,12,18,66.7,5,9,55.6,7,8,87.5,1,6,7,9,1,2,2,2,36,15
