PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Jordan MillerJ. MillerF,7:29,2,4,50.0,0,1,0.0,2,2,100,0,1,1,0,1,0,0,0,6,3
Kobe BrownK. BrownF,5:22,1,4,25.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,1,1,2,1
Moussa DiabateM. DiabateC,6:06,1,2,50.0,0,0,0.0,0,0,0.0,2,0,2,0,0,0,0,0,2,-1
Cam ChristieC. ChristieG,6:06,1,2,50.0,1,2,50.0,0,0,0.0,0,0,0,0,0,0,0,1,3,-1
Trevor HudginsT. HudginsG,5:22,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,0,0,1
RayJ DennisR. Dennis,4:38,0,0,0.0,0,0,0.0,0,0,0.0,1,2,3,2,0,0,1,0,0,0
Terry TaylorT. Taylor,4:38,0,3,0.0,0,1,0.0,0,0,0.0,1,1,2,1,0,0,0,0,0,0
Elijah HarklessE. Harkless,3:54,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,2
Josh BannanJ. Bannan,3:54,1,1,100,0,0,0.0,0,0,0.0,1,0,1,0,0,0,1,2,2,2
Amari BaileyA. Bailey,2:31,1,1,100,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,2,-2
TOTALS,,7,19,36.8,1,8,12.5,2,2,100,5,5,10,4,2,0,4,4,17,1
