PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Dalton KnechtD. KnechtF,10:00,3,6,50.0,0,3,0.0,0,0,0.0,0,2,2,0,0,0,0,1,6,-10
Maxwell LewisM. LewisF,6:57,0,2,0.0,0,1,0.0,0,0,0.0,0,2,2,2,0,1,2,0,0,-7
Colin CastletonC. CastletonC,6:13,2,5,40.0,0,0,0.0,0,0,0.0,1,2,3,0,0,0,0,0,4,-7
Bronny JamesB. JamesG,4:43,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,-4
Tommy KuhseT. KuhseG,6:13,1,2,50.0,1,1,100,0,0,0.0,1,0,1,1,0,0,0,1,3,-7
Trent ForrestT. Forrest,5:17,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,2,0,0,1,1,0,-6
Blake HinsonB. Hinson,3:47,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-3
Armel TraoreA. Traore,3:03,1,1,100,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,2,-3
Moses BrownM. Brown,3:47,0,1,0.0,0,0,0.0,1,2,50.0,0,1,1,0,0,2,1,1,1,-3
TOTALS,,7,19,36.8,1,6,16.7,1,2,50.0,2,10,12,5,0,3,5,7,16,-10
