PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
Terrence Shannon Jr.T. Shannon Jr.F,7:51,2,2,100,0,0,0.0,0,2,0.0,0,1,1,0,1,0,0,0,4,2
Josh MinottJ. MinottF,2:09,1,1,100,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,2,2
Leonard MillerL. MillerC,7:50,2,5,40.0,1,3,33.3,1,2,50.0,2,2,4,0,2,0,0,1,6,10
Daishen NixD. NixG,4:25,2,2,100,1,1,100,0,0,0.0,0,0,0,1,0,0,0,0,5,8
Rob DillinghamR. DillinghamG,6:23,0,2,0.0,0,1,0.0,0,0,0.0,0,2,2,2,0,0,0,1,0,9
Jaylen ClarkJ. Clark,3:37,0,3,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-5
Jesse EdwardsJ. Edwards,4:17,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-6
Nadir HifiN. Hifi,5:37,2,5,40.0,0,2,0.0,0,0,0.0,0,0,0,1,0,0,0,0,4,-2
Jaedon LeDeeJ. LeDee,4:38,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,1,0,2,0,7
Joe WieskampJ. Wieskamp,3:13,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-5
TOTALS,,9,20,45.0,2,7,28.6,1,4,25.0,2,7,9,4,3,1,1,5,21,4
