PLAYER,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-
GG Jackson IIG. Jackson IIF,8:20,1,4,25.0,1,2,50.0,0,0,0.0,0,1,1,0,0,0,0,0,3,10
Jake LaRaviaJ. LaRaviaF,8:11,2,4,50.0,1,3,33.3,0,0,0.0,1,0,1,1,2,0,2,0,5,11
Trey JemisonT. JemisonC,5:31,1,1,100,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,8
Cam SpencerC. SpencerG,7:29,2,3,66.7,1,2,50.0,0,0,0.0,1,0,1,2,1,0,0,2,5,10
Scotty Pippen Jr.S. Pippen Jr.G,7:29,1,3,33.3,1,1,100,3,4,75.0,0,2,2,1,2,0,0,2,6,10
Jaylen WellsJ. Wells,4:51,1,2,50.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,1
DeJon JarreauD. Jarreau,3:29,1,2,50.0,0,0,0.0,3,4,75.0,0,1,1,0,1,0,0,0,5,-3
Timmy AllenT. Allen,2:09,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1
Isaiah MillerI. Miller,2:31,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,2,0,0,1,0,-1
TOTALS,,9,19,47.4,4,9,44.4,6,8,75.0,2,4,6,5,8,0,2,6,28,9
